driverId,week,hours-logged,miles-logged
513,3,70,3000
45,11,75,2200
188,47,67,3500
525,4,60,1200
122,27,73,0
704,25,61,900
977,41,62,2300
775,37,50,300
573,31,53,400
123,7,61,1900
624,7,66,1800
743,28,65,1100
837,11,78,1800
475,21,50,600
207,25,62,1300
241,44,58,2200
393,49,73,3100
234,51,78,2000
116,14,61,1400
566,29,50,2400
910,43,79,2000
235,32,73,3200
629,8,57,400
775,18,57,3600
36,11,74,2600
22,42,55,2400
478,52,56,2400
178,23,69,3000
42,7,52,200
202,3,51,700
960,52,60,3300
832,24,78,2300
210,28,71,0
324,40,53,3300
444,34,76,3900
702,6,73,3200
394,17,71,2000
369,2,78,3500
449,3,80,2200
626,31,55,2400
130,2,51,2600
619,16,58,2600
934,22,69,1400
626,44,54,2100
663,27,55,3700
347,2,76,3600
721,33,53,3000
701,47,65,0
25,10,57,3800
140,18,69,0
160,35,73,1000
365,50,54,1000
25,52,65,4000
604,29,55,3400
880,14,64,1900
603,39,73,2700
291,9,54,2400
151,37,51,2800
293,48,76,1800
845,35,62,3100
587,15,67,1300
118,32,62,900
891,12,74,100
967,9,60,100
946,51,64,2500
988,23,76,2100
964,43,58,1400
235,23,72,3100
219,51,60,2900
351,30,72,2900
416,21,71,3600
354,50,77,300
646,29,79,2700
612,46,51,3300
911,45,66,1700
30,50,75,1600
794,25,51,700
437,36,77,2400
562,19,64,3800
883,3,78,0
173,26,50,2700
10,37,65,1500
898,28,63,2900
804,48,79,1000
681,16,62,2200
475,49,75,3700
225,6,76,2400
674,26,76,3100
653,37,69,0
643,13,65,700
450,22,62,3200
683,51,62,2800
957,27,59,200
59,6,56,0
371,47,62,1400
386,24,52,3800
458,27,52,2200
292,34,54,2500
320,44,68,2100
911,29,57,0
408,12,72,2000
984,31,61,3600
733,38,64,300
463,25,55,2900
474,33,77,1100
176,22,51,1200
989,5,70,2400
243,11,61,3400
14,22,65,3300
959,24,50,3900
743,47,71,4000
284,46,61,3300
586,30,55,500
733,14,60,2600
731,40,52,3900
853,5,77,900
676,36,60,3900
675,9,59,2800
725,12,61,3100
286,32,63,2000
733,44,65,1800
757,28,78,200
297,40,79,2800
573,26,54,1100
51,37,73,100
675,35,61,200
244,43,68,1600
788,50,80,1300
393,14,67,2400
313,18,54,800
286,32,70,2500
